ID,Nome,Descrição,Desenvolvedor,Publicador,Data de lançamento,Gênero
2267210,Animal Shelter - Horse Shelter DLC,"In Animal Shelter - Horse Shelter DLC, we take care of much bigger animals that also deserve a good home. This DLC not only includes horses but also new fresh mechanics that will allow you to experience the world of Animal Shelter all over again!",Games Incubator,Games Incubator,"27 Jan, 2023",Adventure
2267220,Tamerlane,"This fast action shooter lets you witness medieval combat in a new way. In an Adventure and Rogue-Lite mode you will have to fight knights, horse archers and even elephants.",Purrleo,Purrleo,"25 Jan, 2023",Action
2267260,Horror Explus,"Paranormal first-person horror game. which takes place in thunderous weather, an abandoned psychiatric hospital. In that place, you find horror experience or just escape. It's your choice.",Suzi Scroll Studio,Suzi Scroll Studio,"19 May, 2023",Adventure
2267310,Quadice,A Tile-Matching Puzzle Game,Euphionia Studio,Euphionia Studio,"31 Jan, 2023",Casual
2266370,A Special Place In Hell,"Scavenge for weapons, ambush your friends, die trying. A Special Place In Hell is an 8-man fast-paced top-down battle royale-lite inspired by 4-bit games of the Atari 2600 era.",ASPIH Dev,ASPIH Dev,"17 May, 2023",Action
2266380,ONI: Road to be the Mightiest Oni - Kanna's Kimono: Indigo Fiber,"Talk to Kanna, the mysterious girl who lives on Kisejima Island, to change her outfit.",KENEI DESIGN,Clouded Leopard Entertainment,"8 Mar, 2023",Action
2266390,ONI: Road to be the Mightiest Oni - Kuuta's Travel Tool: Cloud Crest,Equip this item to swap the bag Kuuta carries to one with a cloud pattern!,KENEI DESIGN,Clouded Leopard Entertainment,"8 Mar, 2023",Action
2266410,Drifting with Maxwell Cat: The Game,"&quot;Drifting with Maxwell Cat The Game&quot; is a skateboarding game featuring meme characters navigating obstacle-filled levels. Customize your skateboard and pull off stunts to earn points. With vibrant art and intuitive controls, it's a fun arcade game for all skill levels.",GameToTop,GameToTop,"17 Feb, 2023",Action
2266490,Efpiyes Playtest,,N/A,,"2 Jan, 2023",N/A
2266560,Grip on Reality - The Jaguar,A pious blood-thirsty warrior with an insatiable need to sacrifice the blood of his enemies to his gods. He wields his blood-letting macuahuitl and calls upon blood magic to bleed his foes. Blood.,Sean Marty,,"19 Jan, 2023",Action
2266570,Kinda Knirpsi,Take on the role of Knirpsi the turtle and face a variety of enemies. Experience retro cartoon-style shooter action and hand-drawn boss battles. You will die. Many Times.,HerrGrievous,HerrGrievous,"10 Mar, 2023",Action
2266590,Vandaan,"Welcome to Vandaan, a post-apocalyptic game where you must explore an abandoned city built by robots to find out why it was abandoned. In this game, you play as an adventurer who immerses themselves in a fascinating world full of puzzles and secrets.",Venada,Venada,Coming soon,Action
2266600,Guts 'n Grunts,"Inspired by games like Contra and Turrican, Guts 'n Grunts is a mid-paced action game with lots of shooting, swimming, and rolling. Find power-ups. Earn upgrades. Fight for pig freedom!",Cascadia Games,Cascadia Games,Q3 2023,Action
2266660,SCP - Containment Breach Demo,,Hyperity Studios,Hyperity Studios,Coming soon,N/A
2266700,Abhorrent Light,A dark medieval first person hack and slash with procedural elements. Navigate the darkness and shed light on what lies below.,Peanut Games,Peanut Games,Coming soon,Action
2266720,Square Life,Why do you need the company of beautiful women to do a simple thing?,MYK,MYK,"29 Jan, 2023",Casual
2266760,The Cloud City Playtest,,N/A,,"4 Jan, 2023",N/A
2266790,键盘侠Keyboardmen,"A horizontal plate action game, bring different &quot;hero&quot; experience to the player! Although there is no sword, but the hand of the keyboard is the most powerful weapon in the network world, let us incarnate the keyboard man, in the network world to judge sentient beings!",LMN,LMN,"24 Jan, 2023",Action
2265850,觅长生 Soundtrack,The original soundtrack of 觅长生,Chalcedony Network,Chalcedony Network,"30 Jan, 2023",N/A
2265870,病菌幸存者,"Virus Survivor is an action meat pigeon game, where you will eliminate many germs, challenge powerful super germs, and learn skills to strengthen your characters at the same time.",mouse,mouse,"7 Apr, 2023",Casual
2265890,Raid on Taihoku artbook,"The art book collection illustrates plenty of development designs of Raid on Taihoku behind the scenes, including main and supporting characters, scenes and props in the game, as well as many delicate art sketches.",Mizoriot Creative Company LTD.,Loftstar Entertainment Inc.,"15 Feb, 2023",Action
2265920,Castle of Blackwater,"A game of social deduction where you need to work together to escape the magical castle. Look out for the evil players that infiltrated your team and will do anything to stop you. When lives are at stake and the truth has no meaning, who will you trust?",Castle of Blackwater B.V.,Merit Circle,Q3 2023,Action
2265940,Evil Dungeon,"¡Fight the heroes trying to conquer your dungeon! Choose a class and fight along your comrades to stop invaders, level up, pick up loot, buy upgrades and become the greatest anti-hero",Vecindad Unida,Vecindad Unida,2023,Adventure
2265950,Ninja Party,Ninja Party is a 2-4 player local multiplayer game! Play as one of four ninjas in disguise and blend in with the townsfolk. Identify your friends and take them out... or enlist the help of an aggressive yet adorable dog to do the dirty work for you.,Andreas Metz,Andreas Metz,Coming soon,Action
2265960,Stick Bros,Customize your own stickman with cool items you can buy in ingame-marketplace or Trade items and become rich There's more come and see!,DanGames,DanGames,"26 Jan, 2023",Free to Play
2265990,ENDALOR,"ENDALOR is medieval dark fantasy survival RPG for 1-4 players. Explore, survive, build, craft, fight and conquer your way through the dark, brutal and mysterious lands of Endalor.",Diorite Games,Diorite Games,Coming soon,Action
2266000,Hell Evolution – Devil Girls Raising (R-18),This is a game where you can nurture and command the devil girls to fight and defeat the Sexy Seven Deadly Sins!,WeissGarden,WeissGarden,Coming soon,RPG
2266010,The Reacher,"The Reacher is a platform game with different aspects in it. Run, slide and swing for reaching the goal. It is designed for speed runs.",CodingApe Games,Vulpis Yazilim,"1 May, 2023",Action
2266030,"Blood Money, Good Money",Trade guns on a city plagued by gangs and expand your criminal empire,Arturo Zafra Moreno,Arturo Zafra Moreno,"15 Feb, 2023",Indie
2266050,Own the THRONE,"Own the THRONE is an open-world, action-adventure RPG that combines your Nightmares with your ordinary city life. The strong minded will gain special power nightmare use and succeed in the City. Get rich in the city and live with the curse of the Sword by Owning the THRONE in your Nightmares.",RXINC,La Cruz de Sangre,To be announced,Action
2266080,Archer Hero Must Die,‘Archer Hero Must Die’ is a casual game. Players control an archer and defeat one powerful enemy after another.,jsc,jsc,"18 Jan, 2023",Adventure
2266090,Cube,"A horror game inspired by the liminal space aesthetic. Explore a huge unknown facility deep underground and solve puzzles while trying to figure out who you are, and why you are here.",JayjayBoi,JayjayBoi,To be announced,Indie
2266130,勇士末路 The End of Warriors,"This is a strategy round rogue-like RPG. Random maps, random events, free teams, skill matches, and turn-based battles, where players will lead their teams to a magnificent revenge for the justice in their hearts!",Firebird,Firebird,"24 Mar, 2023",Indie
2266140,Swung Playtest,,N/A,,"26 Jan, 2023",N/A
2266190,finland corruption simulator,experience boring life in simulator game and this will just is it finland corruption simulator and then you can just play it nothing intresting so do what ever you want in game what you will can so basically nothing,noobius,noobius,"13 Apr, 2023",Simulation
2266240,The Inverse - Japanese Language Bolt-On,This DLC allows you to play The Inverse in Japanese.,Spencer Dring,Spencer Dring,Coming soon,Action
2266270,Rhythm Taichi XR,"Rhythm Taichi XR is a physical dancing mixed reality rhythm game that turns your smartphone into a motion camera. It is compatible with most custom songs on beatsaver, and requires no specialized hardware. It is also available as a second screen for your phone or as a standalone VR game.","Tempstudio, LLC","Tempstudio, LLC","21 Feb, 2023",Casual
2266280,Rhythm Taichi - Enable Webcam,"Enable using the webcam on your PC for video input, instead of connecting to the Rhythm Taichi app.",Tempstudio,Tempstudio,"21 Feb, 2023",Casual
2266300,Shadow's Bullet Demo,,T4 Studio,Fishing Cactus,"3 Jan, 2023",N/A
2266310,REFLEXIA Prototype ver. Original Graphics,Original graphics and bonus files from REFLEXIA Prototype ver.,mahoumaiden,Nikita Kryukov,"11 Jan, 2023",Casual
2266330,The Inverse - Korean Language Bolt-On,This DLC allows you to play The Inverse in Korean.,Spencer Dring,Spencer Dring,Coming soon,Action
2265380,Seroutte,"Seroutte is a short atmospheric experimental horror dreamscape based on the developer's nightmares. It explores themes such as the loss of control, fear of the dark, and the paranoia found within the unknown.",Studio Hex,Studio Hex,"10 Feb, 2023",Adventure
2265390,Caves of Lore Playtest,,N/A,,"30 Dec, 2022",N/A
2265400,Maximum,You control an athlete whose task is to do flips back and forth. The game will be over if you land on your head. More flips in a jump - more final points.,Soomka Games,Soomka Games,"2 Mar, 2023",Casual
2265410,Color X Memory,Minimalistic puzzle game to test your visual memory. There are hidden colored cards on the field. Your task is to find paired cards by color opening paired cards. Good luck with your game.,CasGames,CasGames,"29 Jan, 2023",Casual
2265420,Underquest,"Go on an adventure through the Underkingdom and find your way to the surface. A rogue-lite game with real-time tactical battles. Collect items, connect them with each other to obtain special abilities and upgrade your hero.",Otherside Bay Studio,Otherside Bay Studio,2024,Action
2265430,PlanetS Playtest,,N/A,,"29 Dec, 2022",N/A
2265450,Astral Coconut,A skating based adventure in a vast alien world.,Team Coconut,Team Coconut,"9 Feb, 2023",Action
2265470,Expand & Exterminate: Terrytorial Disputes Playtest,,N/A,,"8 May, 2023",N/A
2265480,DisambiguationTime Playtest,,N/A,,"4 Jan, 2023",N/A
2265490,Chess Match,Chessie Chicken's Chess Match is a unique addition to the Match-3 genre. Pieces move like they do in Chess. Catch chicken's before they cross the board by matching pieces they are standing on. Earn chips and use them to purchase powerups. Earn combo points by catching 2 birds in one match!,OMEGABYTE,OMEGABYTE,"19 Jan, 2023",Sports
2265530,Solitary PaperPlane,Solitary Paperplane is a perfect game for the lonely ones to address their loneliness. A relaxing and immersive experience that players can enjoy at their own pace and a hyper experience for those who like the fast pace with added obstacles. Please keep an eye out for this game!,a Dum Cup of Tea,a Dum Cup of Tea,"12 May, 2023",Casual
2265570,Dragon Call - Aquarium Tower,"&quot;Dragon Call&quot; is a non P2W card game. In the ancient war, the demigods expelled the Dragon Legion, but the effects of the war will never disappear. For thousands of years, intruders often ravaged the land. Now the summoners rise, they can use the energy of the earth to summon various helpers.",organelemonhouse,,"8 Jan, 2023",Adventure
2265571,Dragon Call - Demon Tower,"&quot;Dragon Call&quot; is a non P2W card game. In the ancient war, the demigods expelled the Dragon Legion, but the effects of the war will never disappear. For thousands of years, intruders often ravaged the land. Now the summoners rise, they can use the energy of the earth to summon various helpers.",organelemonhouse,,"8 Jan, 2023",Adventure
2265572,Dragon Call - Devil Tower,"&quot;Dragon Call&quot; is a non P2W card game. In the ancient war, the demigods expelled the Dragon Legion, but the effects of the war will never disappear. For thousands of years, intruders often ravaged the land. Now the summoners rise, they can use the energy of the earth to summon various helpers.",organelemonhouse,,"8 Jan, 2023",Adventure
2265573,Dragon Call - Hachi Tower,"&quot;Dragon Call&quot; is a non P2W card game. In the ancient war, the demigods expelled the Dragon Legion, but the effects of the war will never disappear. For thousands of years, intruders often ravaged the land. Now the summoners rise, they can use the energy of the earth to summon various helpers.",organelemonhouse,,"8 Jan, 2023",Adventure
2265590,Ancient Legends,Ancient Legends is a 2D Bullet Hell MMORPG that features an expansive world for players to explore with their friends.,Lord Bailey,Goblin Castle,Coming soon,Action
2265610,Ashes of War,"Thrown into a century long war between the Union and the Kingdoms, a lone starship Captain decides to rebel against his fate. Join him in his galactic journey and discover the various stories that can still bloom in the Ashes of War...And flirting. A lot of flirting.",CAT'S TOOTH STUDIO,CAT'S TOOTH STUDIO,"27 Jan, 2023",Adventure
2265640,X-Mode,Free first-person action shooter game with a variety of different gamemodes,xzippyzachx,zxGames,To be announced,Action
2265650,Slippery Flippers,"A group of thieves have found their next gig: a museum holding the &quot;Amulet of the Gods,&quot; a mysterious artifact said to contain godlike power inside of it. It's sitting there, just asking to be stolen. With law enforcement on the prowl, will the crew's leader, Orlando, lead them to riches or ruin?",Snowhaven Studios,Snowhaven Studios,"2 Feb, 2023",Adventure
2265680,The King of Cats,Navigate the claustrophobic corridors of a cargo ship and try to survive a night with man-eating tigers on the loose. Your choices will determine who lives and who dies.,Witching Metal Prod.,Witching Metal Prod.,"16 Feb, 2023",Adventure
2265730,Evil Evo,"You are to enter an abandoned town to explore the secret of missing persons, as the monster responsible for it finds its new victims and poses constant challenges in the process. This horror style PvE Co-op game features in chase &amp; run as well as co-op experience.",12G Studio,12G Studio,To be announced,Indie
2265750,Tonalities,"A mix of problem solving and skill. Tonalities is a 2D puzzle game where you solve levels using the power of physics whilst enjoying a reactive and ambient sound track. Position your pieces, find your zen, and enjoy over 50 levels of challenge.",Jared Rigby,Gameful Developments,Q3 2023,Casual
2265760,Chosun Zombie Defense,Chosun Zombie Defense is a stage-based zombie defense VR game where players eliminate the approaching zombies using weapons from the Chosun Dynasty era.,Geniesoft Inc., Geniesoft Inc.,"9 Feb, 2023",Action
2265780,Kinetic: Break All Limits Playtest,,N/A,,"1 Feb, 2023",N/A
2265790,部落与弯刀 - 比武大会,"- Experience the wonderful hero combos with 3 new gameplay mechanics around the competitive - tournament gameplay; - 5 new recruitable NPC’s, each with their own unique mechanics and new visuals; - Dominate the arena with 25+ new gear designs and reap the rewards;",汉家松鼠Han-Squirrel Studio,XD,"12 Jan, 2023",Adventure
2265800,最弱骸骨兵 The Weakest Skeleton,"You wake up from the Evil Skeleton Legion as a skeleton soldier. Take control of female minions to help you fight, obtain human skins, blend into towns, and get resources. Explore dungeons, collect materials, expand your team, and become the sole master of this world in this land of danger!",木星狂风社,木星狂风社,2023,Indie
2265810,Meiro Master Demo,"Go on a grand adventure with Russell, a golden retriever with a big dream! An epic puzzle- platformer adventure with the goal of becoming the Meiro Master! Earn your way into the history books and become the Meiro Master the people want!",Space Sheep Gaming Ltd,Space Sheep Gaming Ltd,"10 Jan, 2023",N/A
2265830,Virnap,Virnap is a 3D horror game planned to release in 2023 made primarily for VR that will get you into a nightmare especially chosen for you from your fears.,CMStudios,CMStudios,To be announced,Adventure
2264920,Ashen Knights: One Passage Demo,,Baykal Arts,XTEN LIMITED,"5 Feb, 2023",N/A
2264930,"『LACKGIRL I - ""Astra inclinant, sed non obligant.""』",A visual novel about a magic battle between girls. Iris&quot; is a boarding school where students learn about magic. The girls gathered there all have mental defects. This is a story of magical girls with flawed minds and their battles and growth.,Dontsugel,Lackgirl Project,"30 Mar, 2023",Adventure
2264940,Panzer Knights - Churchill & Valentine,"This DLC contains two vehicles, Valentine XI and Churchill VII.",樂磚Joy Brick,樂磚Joy Brick,"27 Feb, 2023",Action
2264950,Mr. Bear's Bizarre Adventure,"This is a paradise for vr, rhythm and ACT lover. It's also a legend about Mr. Bear.",广州雷氪沉浸技术有限公司,广州雷氪沉浸技术有限公司,Coming soon,Action
2264960,Prime of Flames - Original Soundtrack,Thank you so much for your support to my first game. Here is the Original Soundtrack of Prime of Flames for FREE. Hope you will like it. Enjoy the music!,RAYKA STUDIO,RAYKA STUDIO,"3 Jan, 2023",N/A
2264980,Grace Online Playtest,,N/A,,"6 Jan, 2023",N/A
2264990,Goi Playtest,,N/A,,"6 Jan, 2023",N/A
2265000,Penguin Adventure,"'Penguin Adventure' is a 2D platform jumping game with cartoon style. Players control a cute little penguin through many difficulties, and finally reach the destination.",myh,myh,"18 Jan, 2023",Adventure
2265010,草食系男子の言いなり入院生活- A passive boy at the Huntress clinic -,The protagonist is unable to move due to a car accident and is now being approached by the heroines. And so begins a hospital stay surrounded by prank-loving female doctors and nurses!!,"CyberStep, Inc.","CyberStep, Inc.","26 Jan, 2023",Adventure
2265020,Dark Desire Mute 1,"This VISUAL NOVEL continues the life of the girls in the Cindy universe, even at different ages. This way you can explore all kind of kinks and pleasures and topics.",CodeRenderX,CodeRenderX,"14 Jan, 2023",Simulation
2265030,Age Of Cards - Ra's Chess Playtest,,N/A,,"6 Jan, 2023",N/A
2265040,Cracks In Hell,Defeat the swarming monsters of hell and save mankind,MoonlightGames,MoonlightGames,"17 Jan, 2023",Action
2265100,Otherworld Legends - Ruthven,This content requires the base game Otherworld Legends 战魂铭人 on Steam in order to play.,ChillyRoom,ChillyRoom,"5 Jan, 2023",Action
2265101,Otherworld Legends - Aigneis,This content requires the base game Otherworld Legends 战魂铭人 on Steam in order to play.,ChillyRoom,ChillyRoom,"5 Jan, 2023",Action
2265102,Otherworld Legends - Skin : Xandu Epsilon,This content requires the base game Otherworld Legends 战魂铭人 on Steam in order to play.,ChillyRoom,,"5 Jan, 2023",Action
2265103,Otherworld Legends - Skin : Golgoth Zeta,This content requires the base game Otherworld Legends 战魂铭人 on Steam in order to play.,ChillyRoom,ChillyRoom,"5 Jan, 2023",Action
2265104,Otherworld Legends - Skin : Asurendran Might,This content requires the base game Otherworld Legends 战魂铭人 on Steam in order to play.,ChillyRoom,ChillyRoom,"5 Jan, 2023",Action
2265110,Rabi-Ribi - Tevi x Rabi-Ribi Collab Costume Skin,This DLC has specially added exclusive crossover outfits for Erina and Ribbon.,CreSpirit,CreSpirit,"8 Feb, 2023",Action
2265130,Survivor:Stay In The Light,"Stay in the light, hunt the dark. Create your own hero through the four dimensions of role, skill, talent, and blessing outside the battle. In the battle, choose the most suitable equipment and weapons strategically to improve your strength and continue to fight.",Light Game,Light Game,"21 Jan, 2023",Action
2265180,Sex with Succubus ❤️‍🔥,"Sex with Succubus❤️‍🔥 is a kind of Lust Demon simulator, where you kind of manage our personal hell. You have a Pain and Suffering counter and when it reaches a certain value you have the opportunity to improve some torture tool to speed up the Pain and Suffering points.",Octo Games,Octo Games,"8 Feb, 2023",Casual
2265190,Tactics Greed,"Aim for the top of the arena by using unique tactics combining units, magic, and formations! Casual action real-time strategy game that can be played with one hand!",Browser Land,Browser Land,2024,Action
2265200,Alien Invasion: RPG Idle Space,Ancient aliens: Idle RPG offline survival game. Spider evolution in alien games!,MulticastGames,MulticastGames,Coming soon,Casual
2265220,TITS OKAY TITS FINE: LEWD ME DARLING,"TITS OKAY TITS FINE: LEWD ME DARLING (all characters are 18+ and no character get hurt in this video game), sex Simulator where you will be able to penetrate penis to vagina and make a great pleasure to make the vagina squirt",TITANIUM ARMOR,TITANIUM ARMOR,"9 Feb, 2023",Casual
2265230,Yet Another Zombie Survivors Demo,The Horde is coming but you're ready to fight it! Assemble your team and decide upon their enhancements to find the most efficient synergies against thousands of the undead. Survive. Then evolve. Then break all the limits in this deceivingly simple but addictive reverse bullet hell.,Awesome Games Studio,Awesome Games Studio,"3 Feb, 2023",N/A
2265240,Ryo The Haunted Office,Ryo The Haunted Office is a 2D Top-Down Survival Horror game where you play as a Paranormal enthusiast who have to investigate the haunted office for the proof of the paranormal.,Anamik Majumdar,Anamik Majumdar,"10 Feb, 2023",Adventure
2265250,Songs of the Chalice Demo,Pre-alpha / Tech Demo,vodasoft_tm,vodasoft_tm,"10 Jan, 2023",N/A
2265270,Every Summer Holiday,"While visiting a small town during the summer holiday, Henry meets two older boys named Jason and Eddie. The three hang out daily, and Henry starts seeing them as his older brothers. Henry has to say goodbye to his friends when the holiday ends, but they will reunite another summer.",ChaniMK,ChaniMK,"21 Apr, 2023",Indie
2265320,Torico's b-day gift hunt,"Torico's b-day gift hunt - Toriko slept peacefully, looking forward to the upcoming party on her birthday, but bad luck - all the gifts were stolen! Restore justice and return the gifts to their place in this game inspired by the classic platformers of the 90s!",Soomka Games,Soomka Games,"23 Feb, 2023",Action
2265340,CUCKOLD SIMULATOR: Ukraine Supporter Pack,"Slava Ukraini! Show your support for Ukraine and Volodymyr Zelenskyy in their struggle against Russia, and the unspeakably evil Vladimir Putin. This pack includes everything you'll need to broadcast that you support the good guys in this war.",Team SNEED,Team SNEED,"11 Jan, 2023",Action
2265360,Fantasy Grounds - Fantasy Grounds Swamp Map Pack,"&quot; This product requires Fantasy Grounds Unity Fantasy Grounds Swamp Map Pack The Swamp Map Pack features images and art produced by our in-house artist, Joshua Watmough. They have been organized and optimized for use with Fantasy Grounds Unity and the image tools.","SmiteWorks USA, LLC",,"31 Dec, 2022",Indie
2264420,Sleepy Daniel,Tired of your noisy neighbors? Learn creative ways to silence them and secure a peaceful night of sleep!,Zero,Zero Cores,"18 Apr, 2023",Casual
2264460,UnderBackroom,"UnderBackrooms is a cooperative horror game set in a mysterious parallel universe of empty rooms and endless corridors. With moments of tension and surprise, players must be on guard to survive. Explore the backrooms and uncover their secrets to escape this nightmare world.",okeyplaystudio,okeyplaystudio,"3 Feb, 2023",Adventure
2264470,Diesel The Pug Warrior,"Help Diesel as he joins forces with his best friend Fred, as they try to save the Kingdom of Everlyn from the evil Luna and bring peace to the land once more in this adventure RPG!",Joseph Carroll,Jackson Wood,"30 Jan, 2023",Action
2264500,Guacomole,GUACOMOLE is a classic arcade shooter with a twist... Survive endless waves of chip enemies with only one bullet. A seamless cross between classics such as Pong and Asteroids. Enjoy a challenging and strategical experience that will leave you hungry for more!,Cody Harmon,Cody Harmon,"2 Feb, 2023",Action
2264510,CuDo,CuDo is a 2D arcade game about collecting as many points as you can while dodging enemies coming at you from all sides. There are several powerups to collect to make your life easier (or harder). The more points you get the faster the enemies are coming at you!,FabiClawZ,FabiClawZ,Coming soon,Indie
2264550,Fliese,&quot;Fliese&quot; is a minimal logic puzzle game,LLamaze,LLamaze,"2 Feb, 2023",Casual
2264600,Find the Whales Español,"A Spanish version of Find the Whales, an educational game about ocean conservation. Find simulated marine animals &amp; learn how to help protect them from extinction!",Thought Generation Society,Thought Generation Society,"12 Jan, 2023",Free to Play
2264610,Dragonspire Demo,Embark on an epic journey into the anime world of Asteria. Bring your friends along and delve into endlessly different scenarios in this action-packed cooperative roguelike.,Starmi,Lionheart Games,"19 Jun, 2023",N/A
2264650,Paper Mages Demo,"A CCG / Deckbuilder / RTS / Third Person Platformer. Take part in the Pentad Mage Duels, where you and other apprentices control paper avatars to duel in a paper castle and become mages. With a deck of 130 cards that combine in different ways, use real-time systemic strategy to win.",Gently Giant LLC,Gently Giant LLC,"2 Jan, 2023",N/A
2264700,Infinite Mirror,Carmen must search the Temple of the Infinite Mirror to find the solution to what ails her...,HexedCyana,HexedCyana,"12 Jan, 2023",Adventure
2264720,[Available in English] Got reincarnated into a world of RPG full of NPCs… - Additional adult story & Graphics DLC,Get additional events and graphics with this expansion DLC for &quot;Got reincarnated into a world of RPG full of NPCs…&quot;. but you can play it in English or Chinese by installing the free DLC shown above.,シュガーボックス,WASABI entertainment,"11 Jan, 2023",Adventure
2264730,Hentai SportsGirl,Hentai SportsGirl is a relaxing puzzle game. With the theme of sports girl and 24 unique sexy girls. Enjoy sexy girls pictures and relaxing music to complete the puzzle.,GentleDriver,Hentai works,"15 Jan, 2023",Casual
2264740,Highway Speeder,Endless highway destruction,Bundem Games,Bundem Games,"12 Jan, 2023",Casual
2264760,Lifetime,"Awakening in a land among the stars, play as a cat exploring The Cosmic Island of Recollection in this Third-person open world visual novel in order to regain memories of the life that came before. Search behind rocks, in the grass, and everywhere in-between to discover all 13 memories.",Michael Newsome,Michael Newsome,2023,Adventure
2264770,Spellsphere,"Spellsphere is a fast-paced action roguelike set in the far future where society has reverted to an era similar to the medieval ages. You play as a mage locked up in a dungeon while an evil sorcerer has taken over the island. Can you escape the dungeon, travel the island, and defeat the Sorcerer?",Sledge169,Sledge169,To be announced,Action
2264780,Legion of Judgment: Fallen Angel,"Legion of Judgment is a Noir action-RPG Metroidvania game that offers a new and deeper player experience. Explore forgotten memories to become stronger, manage a hotel in reality to create a powerful legion and win the war against werewolf guild.",Theremin Interactive,Theremin Interactive,To be announced,Action
2264840,(para)Normal Commute,(para)Normal Commute makes your everyday sardine-packed commute seem like a refreshing walk along a sunny beach... Solve puzzles and overcome challenges to complete your commute safely in this short first person puzzling journey!,Jordan Giffen,MikeSimulation,Coming soon,Adventure
2263960,Ultra Fishing,Fishing simulator in a realistic world,Uğur ÇELİK,Uğur ÇELİK,"18 Jan, 2023",Casual
2264010,The 9th Charnel Playtest,,N/A,,"1 Jan, 2023",N/A
